Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
4192,DHANERA MERCANTILE CO-OPERATIVE BANK LTD.,283565,1765955.88,867,July,2024,Mobile Banking
4193,DHANLAXMI BANK LIMITED,97086,3896796.17,35274,July,2024,Mobile Banking
4194,DINDIGUL CENTRAL COOPERATIVE BANK LTD,158,707.27,77,July,2024,Mobile Banking
4195,DMK JAOLI BANK LTD,13361,203105.03,2735,July,2024,Mobile Banking
4196,DOHA BANK QPSC,1671,74970.47,1389,July,2024,Mobile Banking
4197,DOMBIVLI NAGARI SAHAKARI BANK LTD.,3847367,12498355.41,567,July,2024,Mobile Banking
4198,DURGAPUR STEEL PEOPLES' CO-OP. BANK LTD.,3308,41689.86,1065,July,2024,Mobile Banking
4199,EQUITAS SMALL FINANCE BANK LIMITED,316015,17387433.21,85091,July,2024,Mobile Banking
4200,ESAF SMALL FINANCE BANK,207950,5500557.7,48433,July,2024,Mobile Banking
4201,FEDERAL BANK LTD.,9552244,149988022.3,1661441,July,2024,Mobile Banking
4202,FINGROWTH CO-OPERATIVE BANK LTD.,24433,1156719.62,7305,July,2024,Mobile Banking
4203,FINO PAYMENTS BANK,135181270,64712486.53,3860515,July,2024,Mobile Banking
4204,G S MAHANAGAR CO-OP. BANK LTD.,106320,1322996.86,5517,July,2024,Mobile Banking
4205,G.P. PARSIK JANATA SAHAKARI BANK LTD.,3698521,6302858.53,2180,July,2024,Mobile Banking
4206,"GODAVARI URABN CO.OPERATIVE BANK LTD,NASHIK",384,7291.1,62,July,2024,Mobile Banking
4207,GUARDIAN SOUHARDA SAHAKARI BANK NIYAMITA ,1805,26580.75,1904,July,2024,Mobile Banking
4208,GUJARAT AMBUJA CO-OP BANK LTD,10304,164350.4,260,July,2024,Mobile Banking
4209,HDFC BANK LTD.,1202860602,3892193417,20187715,July,2024,Mobile Banking
4210,HIMACHAL PRADESH GRAMIN BANK,86026,20742993.2,53469,July,2024,Mobile Banking
4211,HIMATNAGAR NAGRIK SAHKARI BANK LTD,3088,454944.71,2731,July,2024,Mobile Banking
4212,HOOGHLY DISTRICT CENTRAL CO OPERATIVE BANK LTD,695,7524.99,772,July,2024,Mobile Banking
4213,HSBC ,10107252,50537052.03,202271,July,2024,Mobile Banking
4214,"HUTATMA SAHKARI BANK LTD., WALWA",2015,37444.98,278,July,2024,Mobile Banking
4215,ICICI BANK LTD,609862416,3249159410,16867729,July,2024,Mobile Banking
4216,IDBI BANK LTD,153890282,364260865.4,433309,July,2024,Mobile Banking
4217,IDFC FIRST BANK LTD.,92786786,479913944.6,1489678,July,2024,Mobile Banking
4218,INCOME TAX DEPARTMENT CO OP BANK LTD,1163,17786.25,388,July,2024,Mobile Banking
4219,INDIA POST PAYMENTS BANK LIMITED,16226006,34070815.71,3001825,July,2024,Mobile Banking
4220,INDIAN BANK,428163505,680117128.2,1788149,July,2024,Mobile Banking
4221,INDIAN OVERSEAS BANK,338317921,623188729.4,211747,July,2024,Mobile Banking
4222,INDORE CLOTH MARKET CO-OP. BANK LTD. ,4894,96580.56,613,July,2024,Mobile Banking
4223,INDORE PARASPAR SAHAKARI BANK LTD INDORE,23040,58911.65,1771,July,2024,Mobile Banking
4224,INDRAPRASTHA SEHKARI BANK LTD,2888,175000.96,369,July,2024,Mobile Banking
4225,INDRAYANI COPERATIVE BANK ,681,13769.86,130,July,2024,Mobile Banking
4226,INDUSIND BANK LTD,147131651,880931866.3,965936,July,2024,Mobile Banking
4227,J & K GRAMEEN BANK,2268585,4539404.22,113213,July,2024,Mobile Banking
4228,J&K STATE CO-OPERATIVE BANK,5359,94369.99,2874,July,2024,Mobile Banking
4229,"JALGAON JANATA SAHAKARI BANK LTD., JALGAON",1122592,2734503.55,5845,July,2024,Mobile Banking
4230,"JALNA MERCHANTS CO OP BANK LTD., JALNA.",374803,853614.66,3376,July,2024,Mobile Banking
4231,JALORE NAGRIK SAHAKARI BANK LTD,2698,77844.75,412,July,2024,Mobile Banking
4232,JAMIA COOPERATIVE BANK LTD,2912,22011.15,445,July,2024,Mobile Banking
4233,JANA SMALL FINANCE BANK LIMITED,182056,5855560.35,320038,July,2024,Mobile Banking
4234,JANAKALYAN SAHAKARI BANK LTD.,34535,865416.87,5545,July,2024,Mobile Banking
4235,Janaseva Sahakari Bank Ltd. Pune,14487,396089.23,2463,July,2024,Mobile Banking
4236,JANATA CO OPERATIVE BANK LTD.MALEGAON,770,22743.5,520,July,2024,Mobile Banking
4237,"JANATA SAHAKARI BANK LTD, AJARA",739,23684.43,107,July,2024,Mobile Banking
4238,JANATHA SEVA BANK ,1617,42286.87,4354,July,2024,Mobile Banking
4239,JANTA SAHAKARI BANK PUNE,4478537,6244901.66,2203,July,2024,Mobile Banking
4240,JIJAMATA MAHILA SAH BANK LTD PUNE,130276,186920.72,239,July,2024,Mobile Banking
4241,JILA SAHAKARI KENDRIYA BANK MARYADIT DURG,333363,554006.56,3357,July,2024,Mobile Banking
4242,JILA SAHAKARI KENDRIYA BANK MARYADIT JAGDALPUR,1503,20913.39,628,July,2024,Mobile Banking
4243,JILA SAHAKARI KENDRIYA BANK MARYADIT KHARGONE,4374,227883.71,1079,July,2024,Mobile Banking
4244,JILA SAHAKARI KENDRIYA BANK MYDT RAIPUR C.G.,2687,67429.98,1600,July,2024,Mobile Banking
4245,JIO PAYMENTS BANK LIMITED           ,16036872,10652563.47,78531,July,2024,Mobile Banking
4246,JIVAN COMMERCIAL CO-OPERATIVE BANK LIMITED,6454,272739.15,438,July,2024,Mobile Banking
4247,JODHPUR NAGRIK SAHAKARI BANK LTD.,23080,233621.92,2193,July,2024,Mobile Banking
4248,JOGINDRA CENTRAL COOPERATIVE BANK LTD. SOLAN H.P.,2280,74385.62,1358,July,2024,Mobile Banking
4249,Jugalkishor Tapdiya Shree Mnahesh UCBN Ltd Aurangabad ,233,3716.82,145,July,2024,Mobile Banking
4250,"KALLAPPANNA AWADE ICHALKARANJI JANATA SAH. BANK LTD., ICHALKARANJI",1055622,3088214.93,36429,July,2024,Mobile Banking
4251,KANKARIA MANINAGAR NAGRIK SAHAKARI BANK LTD.,68582,334605.91,3518,July,2024,Mobile Banking
4252,KANYAKUMARI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,104,591.68,49,July,2024,Mobile Banking
4253,"KARNATAK CENTRAL CO-OP BANK LTD, DHARWAD",1663,67697.67,632,July,2024,Mobile Banking
4254,KARNATAKA BANK LTD,6707239,74751330.7,742867,July,2024,Mobile Banking
4255,Karnataka Gramin Bank,38856,987022.47,8708,July,2024,Mobile Banking
4256,KARNATAKA VIKAS GRAMEEN BANK ,11723248,12290198.2,239614,July,2024,Mobile Banking
4257,KARUR VYSYA BANK LTD,67220484,229477944.7,325978,July,2024,Mobile Banking
4258,KERALA GRAMIN BANK ,60672428,74122550.26,18067,July,2024,Mobile Banking
4259,KERALA STATE CO-OPERATIVE BANK LTD.,126134,6410402.59,29658,July,2024,Mobile Banking
4260,Khardah Co-Operative Bank Ltd. ,279,4485.65,327,July,2024,Mobile Banking
4261,KOILKUNTLA CO OPERATIVE BANK PVT LTD,224,3362.12,97,July,2024,Mobile Banking
4262,KOKAN MERCANTILE CO-OP BANK LTD,13865,334489.72,2361,July,2024,Mobile Banking
4263,KOLHAPUR MAHILA SAHAKARI BANK LTD,1126,39647.65,852,July,2024,Mobile Banking
4264,KOPARGAON PEOPLES CO OP BANK LTD,15338,45353.32,569,July,2024,Mobile Banking
4265,KOTA NAGRIK SAHKARI BANK LTD,292,6488.25,204,July,2024,Mobile Banking
4266,KOTAK MAHINDRA BANK LTD,685330343,1421194881,17038208,July,2024,Mobile Banking
4267,"KOYANA SAHAKARI BANK LTD., KARAD",22737,30989.26,18,July,2024,Mobile Banking
4268,KRISHNA BHIMA SAMRUDDHI LOCAL AREA BANK,2905,56671.93,1268,July,2024,Mobile Banking
4269,"L.I.C. Employees' Co-Operative Bank Ltd.,Udupi",454,10955.96,1028,July,2024,Mobile Banking
4270,LAKHIMPUR URBAN CO-OP.BANK LTD.,9848,39306.2,1150,July,2024,Mobile Banking
4271,"LATUR URBAN CO-OP. BANK LTD., LATUR",72447,1368389.17,3256,July,2024,Mobile Banking
4272,LAXMI URBAN CO-OP BANK LTD LATUR,41803,146044.62,1193,July,2024,Mobile Banking
4273,"LOKNETE DATTAJI PATIL SAHKARI BANK LTD,LASALGAON ",740,8718.45,158,July,2024,Mobile Banking
4274,LOKVIKAS NAGARI SAHAKARI BANK LTD. AURANGABAD,81019,113610.81,875,July,2024,Mobile Banking
4275,LONAVALA SAHAKARI BANK LTD,1921,49220.83,314,July,2024,Mobile Banking
4276,M S CO-OPERATIVE BANK LIMITED ,2542,100698.55,588,July,2024,Mobile Banking
4277,MADURAI DISTRICT CENTRAL CO-OPERATIVE BANK LTD,314,2716.83,214,July,2024,Mobile Banking
4278,MAHALAKSHMI CO-OPERATIVE BANK LTD UDUPI,805,22298.82,219,July,2024,Mobile Banking
4279,MAHANAGAR NAGRIK SAHAKARI BANK MYDT.,678,39263.86,95,July,2024,Mobile Banking
4280,MAHARASHTRA GRAMIN BANK,54670,364073.07,21289,July,2024,Mobile Banking
4281,"MAHESH SAHAKARI BANK LTD., PUNE",7997,95339.71,1467,July,2024,Mobile Banking
4282,MAHESH URBAN CO-OP. BANK LTD; PARBHANI,3446,362095.41,374,July,2024,Mobile Banking
4283,Mahesh Urban Co-Op.Bank Ltd.Ahmedpur,815,7558.46,153,July,2024,Mobile Banking
4284,MAHILA NAGRIK SAHAKARI BANK MARYADIT MAHASAMUND  C.G.,6934,11463.54,4,July,2024,Mobile Banking
4285,MAKARPURA INDUSTRIAL ESTATE COOP BANK LTD.,435,107049.7,560,July,2024,Mobile Banking
4286,MANIPUR RURAL BANK ,737765,63651.68,547,July,2024,Mobile Banking
4287,"MANN DESHI MAHILA SAHAKARI BANK LTD., MHASWAD",137743,136555.88,1547,July,2024,Mobile Banking
4288,"MANSING CO-OP. BANK LTD., DUDHONDI",207,4241.67,44,July,2024,Mobile Banking
4289,MANVI PATTANA SOUHARDA SAHAKARI BANK NI.,1637,84912.62,230,July,2024,Mobile Banking
4290,"MARATHA CO-OPERATIVE BANK LTD., BELGAUM",1504,45571.25,193,July,2024,Mobile Banking
4291,MEGHALAYA RURAL BANK,1063664,1377111.73,4233,July,2024,Mobile Banking
4292,MEHSANA URBAN CO-OP. BANK LIMITED,1517929,3798.94,78850,July,2024,Mobile Banking
4293,MERCHANTS CO OPERATIVE BANK LTD TIPTUR,47,1219.7,18,July,2024,Mobile Banking
4294,MODEL CO-OP. BANK LTD.,15148,289459.37,3184,July,2024,Mobile Banking
4295,Mugberia Central Cooperative Bank Limited,2287,61447.58,2428,July,2024,Mobile Banking
4296,NADIA DISTRICT CENTRAL COOPERATIVE BANK LTD,1948,5722.81,140,July,2024,Mobile Banking
4297,NAGARIK SAHAKARI BANK MARYADIT DURG,79,833.79,225,July,2024,Mobile Banking
4298,NAGRIK SAHAKARI BANK MYDT VIDISHA ,750,24269.65,89,July,2024,Mobile Banking
4299,NAGRIK SAHKARI BANK MARYADIT GWALIOR,765,10589.77,199,July,2024,Mobile Banking
4300,"NANDANI SAHAKARI BANK LTD, NANDANI",90196,182517.9,86,July,2024,Mobile Banking
4301,Nashik Zilla Sarkari & Parishad Karmachari Sahakari Bank Niyamit. Nashik,109,964.71,434,July,2024,Mobile Banking
4302,NAV JEEVAN CO-OP. BANK LTD.,4843,358045.89,1032,July,2024,Mobile Banking
4303,NAVANAGARA URBAN CO OP BANK LTD,1287,30640.73,327,July,2024,Mobile Banking
4304,NAVI MUMBAI CO-OP BANK LTD,5395,103092.4,5334,July,2024,Mobile Banking
4305,NAVSARJAN INDL CO-OP BANK LTD,12102,51782.61,180,July,2024,Mobile Banking
4306,NEW INDIA CO-OPERATIVE BANK LTD.,20429,407966.96,1899,July,2024,Mobile Banking
4307,NIDHI CO-OP. BANK LTD.,3402,169951.51,1607,July,2024,Mobile Banking
4308,NKGSB CO-OPERATIVE BANK LIMITED,93697,1910258.51,8857,July,2024,Mobile Banking
4309,NORTH EAST SMALL FINANCE BANK LIMITED,22082,414661.84,5307,July,2024,Mobile Banking
4310,NSDL PAYMENTS BANK,19740017,13603371.47,472679,July,2024,Mobile Banking
4311,NUTAN NAGRIK SAHAKARI BANK LTD,332536,4272508,18544,July,2024,Mobile Banking
4312,"Omprakash Deora Peoples Co Op Bank Ltd.,Hingoli",2853,220661.58,491,July,2024,Mobile Banking
4313,PALI URBAN CO OPERATIVE BANK LTD.PALI (RAJASTHAN),5120,261712.75,2057,July,2024,Mobile Banking
4314,"PALUS SAHAKARI BANK LTD., PALUS",147699,449346.72,938,July,2024,Mobile Banking
4315,PATAN NAGARIK SAHAKARI BANK LTD,4936,230214.54,324,July,2024,Mobile Banking
4316,PAVANA SAHAKARI BANK LTD.,3856,69472.45,10266,July,2024,Mobile Banking
4317,PAYTM PAYMENTS BANK LIMITED,687135,428091.03,853372,July,2024,Mobile Banking
4318,PEOPLES CO OP BANK LTD DHOLKA,1103,101935.82,628,July,2024,Mobile Banking
4319,PEOPLE'S URBAN CO-OPERATIVE BANK LTD. TRIPUNITHURA.,34453,71874.88,465,July,2024,Mobile Banking
4320,POCHAMPALLY CO-OPERATIVE URBAN BANK LTD,422127,1404469.77,13637,July,2024,Mobile Banking
4321,"POORNAWADI NAGRIK SAH. BANK M., BEED",269908,874434.33,9785,July,2024,Mobile Banking
4322,PORBANDAR COMMERCIAL CO OP BANK LTD,1472,187839.88,159,July,2024,Mobile Banking
4323,PRAGATI SAHAKARI BANK LTD.VADODARA,5212,373767.7,2555,July,2024,Mobile Banking
4324,"Prarthmik Shikshak Sahakari Bank Ltd, Satara",1846,12654,900,July,2024,Mobile Banking
4325,PRERANA CO OP BANK LTD.,13260,557551.53,8151,July,2024,Mobile Banking
4326,PRIME CO-OP. BANK LTD.,375740,4186799.43,1705,July,2024,Mobile Banking
4327,"PRIYADARSHANI NAGARI SAHAKARI BANK LTD., JALNA",410716,762490.33,4645,July,2024,Mobile Banking
4328,PROGRESSIVE MERCANTILE CO OP BANK LTD,1216,82075,359,July,2024,Mobile Banking
4329,Puduvai Bharathiar Grama Bank,10,2.5,71,July,2024,Mobile Banking
4330,PUNE CANTONMENT SAHAKARI BANK LTD.,237127,321208.83,10763,July,2024,Mobile Banking
4331,PUNE PEOPLE'S CO OP BANK LTD,31674,2655150.81,15748,July,2024,Mobile Banking
4332,PUNJAB & SIND BANK,414808,5219379.91,56163,July,2024,Mobile Banking
4333,PUNJAB NATIONAL BANK,753831945,1211803137,1480473,July,2024,Mobile Banking
4334,PUSAD URBAN BANK,1132,12870.72,408,July,2024,Mobile Banking
4335,RAJADHANI CO-OP URBAN BANK LTD,63919,123477.6,42,July,2024,Mobile Banking
4336,RAJAPUR URBAN CO-OP. BANK LTD.,554,11925.49,86,July,2024,Mobile Banking
4337,RAJARAMBAPU SAHAKARI BANK LTD; PETH,336497,1035713.1,12842,July,2024,Mobile Banking
4338,RAJASTHAN MARUDHARA GRAMIN BANK,169549,7305439.13,45300,July,2024,Mobile Banking
4339,RAJGURUNAGAR SAHAKARI BANK LTD.,39873,1519291.53,28149,July,2024,Mobile Banking
4340,RAJKOT NAGARIK SAHAKARI BANK LTD.,1987737,6271827.29,100643,July,2024,Mobile Banking
4341,RAJKOT PEOPLES CO-OPERATIVE BANK LTD.,37070,805857.99,805,July,2024,Mobile Banking
4342,RAMANATHAPURAM DCC BANK,287,2128.38,170,July,2024,Mobile Banking
4343,"Ramrajya Sahakari Bank Ltd, Pune",1715,16719.31,349,July,2024,Mobile Banking
4344,"RANI CHANNAMMA MAHILA SAHAKARI BANK NIYAMIT, BELAGAVI",65447,130803.13,2123,July,2024,Mobile Banking
4345,"RATNAGIRI DISTRICT CENTRAL COOPERATIVE BANK LTD., RATNAGIRI",92517,164583.84,3591,July,2024,Mobile Banking
4346,RBL BANK LIMITED,35640288,95754093.73,174107,July,2024,Mobile Banking
4347,"SADALGA URBAN SOUHARDA SAHAKARI BANK NIYAMIT.,SADALGA",251,3238.38,56,July,2024,Mobile Banking
4348,SADHANA SAHAKARI BANK LTD.,5602,152667.41,891,July,2024,Mobile Banking
4349,"SAMARTH SAHAKARI BANK LTD., SOLAPUR",765033,1047361.43,745,July,2024,Mobile Banking
4350,"SAMARTH SAHAKARI BANK MARYADIT,JALNA.",152330,272870.01,1007,July,2024,Mobile Banking
4351,SAMATA COOPERATIVE DEVELOPMENT BANK LTD,290,4272.68,93,July,2024,Mobile Banking
4352,SAMPADA SAHAKARI BANK LTD PUNE,135549,183835.1,1780,July,2024,Mobile Banking
4353,"SAMRUDDHI CO-OP. BANK LTD., NAGPUR",263,4604.04,102,July,2024,Mobile Banking
4354,SANDIUR PATTANA SOUHARDA SAHAKARI BANK NI.,36017,103886.07,1690,July,2024,Mobile Banking
4355,SANMITRA MAHILA NAGARI SAHAKARI BANK MARYADIT ,862,49951.87,168,July,2024,Mobile Banking
4356,"SANT SOPANKAKA SAHAKARI BANK LTD.,SASWAD.",10022,818246.53,1508,July,2024,Mobile Banking
4357,Saptagiri Grameena Bank,47,221.9,47,July,2024,Mobile Banking
4358,SARASPUR NAGARI CO-OP. BANK LTD.,16467,1018043.24,2199,July,2024,Mobile Banking
4359,SARASWAT CO-OP. BANK LTD,23772545,49141899.99,444052,July,2024,Mobile Banking
4360,SARDAR BHILADWALA PARDI PEOPLES CO-OPERATIVE BANK LTD.,144882,770889.53,1240,July,2024,Mobile Banking
4361,SARDAR SINGH NAGRIK SAHKARI BANK MYDT TIKAMGARH,1113,62461.71,171,July,2024,Mobile Banking
4362,SARDAR VALLABHBHAHI SAHAKARI BANK LTD,18390,342814.56,386,July,2024,Mobile Banking
4363,"SARDARGUNJ MERCANTILE CO-OPERATIVE BANK LTD., ANAND",6280,272952.14,906,July,2024,Mobile Banking
4364,SARVA HARYANA GRAMIN BANK,35842,1160537.33,7219,July,2024,Mobile Banking
4365,SARVODAYA COMMERCIAL CO-OPERATIVE BANK LTD MEHSANA,490261,2737106.38,2287,July,2024,Mobile Banking
4366,SARVODAYA NAGARIK SAHAKARI BANK LTD. HIMATNAGAR,3811,328345.89,3896,July,2024,Mobile Banking
4367,SAURASHTRA GRAMIN BANK,47456,1928198.27,13448,July,2024,Mobile Banking
4368,SBM BANK INDIA LTD,5817150,8027996.13,4497,July,2024,Mobile Banking
4369,SHARAD SAHAKARI BANK LTD MANCHAR,22873,747279.76,2288,July,2024,Mobile Banking
4370,SHINHAN BANK,29636,1173396.59,2567,July,2024,Mobile Banking
4371,SHIVALIK SMALL FINANCE BANK,81008,1864368.85,5657,July,2024,Mobile Banking
4372,SHRAMIK NAGRIK SAHAKARI BAN KLTD INDORE,529,2550.47,59,July,2024,Mobile Banking
4373,"SHREE BASAVESHWAR URBAN CO OPERATIVE BANK LTD.,RANEBENNUR",53,1296.08,75,July,2024,Mobile Banking
4374,SHREE DHARATI CO-OPERATIVE BANK LTD.,22349,202420.39,1481,July,2024,Mobile Banking
4375,SHREE KADI NAGARIK SAHAKARI BANK LTD.,434777,3748732.49,2816,July,2024,Mobile Banking
4376,SHREE MAHAVIR SAHAKARI BANK LTD JALGAON,88872,115682.35,5836,July,2024,Mobile Banking
4377,SHREE MAHESH CO-OP BANK LTD NASHIK,1409,80951.41,241,July,2024,Mobile Banking
4378,SHREE MAHUVA NAGRIK SAHAKARI BANK LTD.,1162,103478.78,150,July,2024,Mobile Banking
4379,SHREE PANCHGANGA NAGARI SAHAKARI BANK LTD. KOLHAPUR,1972,69333.64,421,July,2024,Mobile Banking
4380,SHREE TALAJA NAGRIK SHAKARI BANK LTD.,770,62405.31,120,July,2024,Mobile Banking
4381,SHREE VARDHAMAN SAHAKARI BANK LTD VADODARA,1139,64709.41,802,July,2024,Mobile Banking
4382,"SHREE WARANA SAHAKARI BANK LTD, WARANANAGAR",4574,253237.42,5051,July,2024,Mobile Banking
4383,"SHRI ADINATH CO-OP. BANK LTD., ICHALKARANJI",204,9005.5,53,July,2024,Mobile Banking
4384,SHRI ANAND NAGARI SAHAKARI BANK LTD.,417,5006.74,1189,July,2024,Mobile Banking
4385,SHRI ARIHANT CO-OP BANK LTD,13986,339955.74,1659,July,2024,Mobile Banking
4386,SHRI CHHANI NAGRIK SAHAKARI BANK LTD,6715,43718.63,44,July,2024,Mobile Banking
4387,"SHRI CHHATRAPATI RAJARSHI SHAHU URBAN CO-OP. BANK LTD., BEED",1060762,3920126.27,3548,July,2024,Mobile Banking
4388,SHRI GAJANAN NAGARI SAHAKARI BANK LTD.,501,10089.11,227,July,2024,Mobile Banking
4389,SHRI JANATA SAHAKARI BANK LTD HALOL,25014,210231.59,1354,July,2024,Mobile Banking
4390,SHRI KANYAKA NAGARI SAHAKARI BANK LTD,891,59812.14,523,July,2024,Mobile Banking
4391,"SHRI MAHALAXMI CO-OP. BANK LTD., KOLHAPUR",2198,28530.07,489,July,2024,Mobile Banking
4392,SHRI MAHILA SEWA SAHAKARI BANK LTD.,366,2691.05,179,July,2024,Mobile Banking
4393,SHRI RAJKOT DISTRICT CENTRAL CO-OP BANK LTD.,28966,1264010.37,6122,July,2024,Mobile Banking
4394,"SHRI SHIVAYOGI MURUGHENDRA SWAMI URBANCO-OP. BANK LTD., ATHANI",15,1272.81,35,July,2024,Mobile Banking
4395,SHRI SHIVESHWAR NAGARI SAHAKARI BANK LTD; BASMATHNAGAR,2326,256799.79,378,July,2024,Mobile Banking
4396,SHRI SWAMI SAMARTH SAHAKARI BANK LTD,1836,36899.64,246,July,2024,Mobile Banking
4397,"Shri. D. T. Patil Co-Operative Bank Ltd., Chikodi",780,3412.24,17,July,2024,Mobile Banking
4398,"SHRIKRISHNA CO-OPERATIVE BANK LTD., UMRED",449,62684.85,140,July,2024,Mobile Banking
4399,"Shriram Urban Co-Operative Bank Ltd., Nagpur",449,6020.35,78,July,2024,Mobile Banking
4400,Sikar Kendriya Sahkari Bank Ltd.,403,5335.35,168,July,2024,Mobile Banking
4401,SIKKIM STATE CO-OPERATIVE BANK LTD,2138,34498.41,926,July,2024,Mobile Banking
4402,SINDHUDURG DISTRICT CENTRAL CO. OPERATIVE BANK LTD. SINDHUDURG,13632,171418.85,3554,July,2024,Mobile Banking
4403,SIVAGANGAI DISTRICT CENTRAL CO-OPERATIVE BANK LTD,11,68.62,53,July,2024,Mobile Banking
4404,SOUTH INDIAN BANK,57339059,164302228,1849961,July,2024,Mobile Banking
4405,"SPSR NDCCBANK LTD., NELLORE.",2651,49092.06,912,July,2024,Mobile Banking
4406,SREE CHARAN SOUHARDHA CO-OPERATIVE BANK LTD.,79170,75410.79,4357,July,2024,Mobile Banking
4407,SREENIDHI SOUHARDA SAHAKARI BANK NIYAMITHA,33589,79815.02,103,July,2024,Mobile Banking
4408,"SRI GANAPATHI URBAN CO-OP. BANK LTD., SAGAR",3277,7899.27,25,July,2024,Mobile Banking
4409,SRI GOKARNANATH CO OPERATIVE BANK LTD,27,17.29,18,July,2024,Mobile Banking
4410,SRI RAMA CO-OP BANK LTD,23,314.82,360,July,2024,Mobile Banking
4411,SRI SUDHA CO-OPERATIVE BANK LTD,149,6567.41,149,July,2024,Mobile Banking
4412,STANDARD URBAN CO-OP BANK(AURANGABAD)LTD.,1132,7584.48,409,July,2024,Mobile Banking
4413,STATE BANK OF INDIA ,3759850610,7116803087,130624936,July,2024,Mobile Banking
4414,SUCO SOUHARDA SAHAKARI BANK LTD.,7450,1279520.28,1065,July,2024,Mobile Banking
4415,"SUNDARLAL SAWJI URBAN CO-OP BANK LTD., JINTUR",15024,1193472.31,1965,July,2024,Mobile Banking
4416,SURAT NATIONAL CO-OP BANK LTD.,28162,2607124.45,4080,July,2024,Mobile Banking
4417,SURYODAY SMALL FINANCE BANK LIMITED,133149,4114028.19,80566,July,2024,Mobile Banking
4418,SVC CO OP BANK LTD ,7142274,12035648.83,30484,July,2024,Mobile Banking
4419,"SWATANTRYA SENANI LATE SHRIPAL ALASE (KAKA) KURUNDWAD URBAN CO-OP BANK LTD., KURUNDWAD",78,1860.3,36,July,2024,Mobile Banking
4420,TAMIL NADU GRAMA BANK,620,1919.38,325,July,2024,Mobile Banking
4421,TAMIL NADU STATE APEX CO-OP. BANK,1411,44087.69,827,July,2024,Mobile Banking
4422,TAMILNAD MERCANTILE BANK LTD,1728493,50010685.5,233774,July,2024,Mobile Banking
4423,TAMLUK GHATAL CENTRAL CO-OPERATIVE BANK LTD.,8113,123893.3,3321,July,2024,Mobile Banking
4424,TEACHERS CO OPERATIVE BANK LTD,1279,47878.32,3477,July,2024,Mobile Banking
4425,TELANGANA GRAMEENA BANK,65425,1854235.94,22007,July,2024,Mobile Banking
4426,TEXTILE TRADERS COOPERATIVE BANK LIMITED,118,488.29,11,July,2024,Mobile Banking
4427,THANE BHARAT SAHAKARI BANK LIMITED,19032,295510.85,2099,July,2024,Mobile Banking
4428,THE ACCOUNTANT GENERALS OFFICE EMPLOYEES CO-OPERATIVE BANK LIMITED,678,17970.62,719,July,2024,Mobile Banking
4429,"THE ADARSH CO-OP. URBAN BANK LTD,HYDERABAD",9351,415475.1,1119,July,2024,Mobile Banking
4430,"THE ADILABAD DIST. COOP. CENTRAL BANK LTD., ADILABAD",2310,64766.28,505,July,2024,Mobile Banking
4431,THE ADINATH CO-OPERATIVE BANK LTD.,1350,66470.81,398,July,2024,Mobile Banking
4432,THE AHMEDABAD DISTRICT CO-OPERATIVE BANK LTD,1335588,4008250.63,3646,July,2024,Mobile Banking
4433,THE AHMEDABAD MERCANTILE CO-OP. BANK LTD.,442167,6744100.21,7091,July,2024,Mobile Banking
4434,THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD; AHMEDNAGAR,467480,742686.52,681,July,2024,Mobile Banking
4435,"THE AJARA URBAN CO-OP. BANK LTD., AJARA",1361,52891.14,204,July,2024,Mobile Banking
4436,"THE AKOLA DISTRICT CENTRAL CO-OPERATIVE BANK LTD., AKOLA",52552,12278267.41,14986,July,2024,Mobile Banking
4437,"THE AKOLA JANATA COMMERCIAL CO-OP. BANK LTD., AKOLA",137725,1497286.84,9162,July,2024,Mobile Banking
4438,"The Akola Urban Co-operative Bank Ltd., Akola.",97749,280818.29,1977,July,2024,Mobile Banking
4439,THE AMARAVATI ZILLHA PARISHAD SHIKSHAK SAH. BANK LTD AMRAVATI,31066,122036.7,1096,July,2024,Mobile Banking
4440,THE ANAND MERCANTILE CO.OPERATIVE BANK LTD,14666,134460.71,3480,July,2024,Mobile Banking
4441,THE ANDHRA PRADESH STATE CO-OPERATIVE BANK LTD.,6363,143031.2,1739,July,2024,Mobile Banking
4442,The Annasaheb Savant Co-op. Urban Bank Mahad Ltd.,1798,14930.26,310,July,2024,Mobile Banking
4443,THE ASHTA PEOPLES CO-OP BANK LTD ASHTA,47778,94201.06,143,July,2024,Mobile Banking
4444,THE BABASAHEB DESHMUKH SAHAKARI BANK LTD ATPADI,78,3886.67,21,July,2024,Mobile Banking
4445,THE BANASKNATHA MERCANTLE CO-OPERATIVE BANK LTD,41315,3159346.26,3332,July,2024,Mobile Banking
4446,The Bangalore City Co operative Bank Ltd.,1413,15790.85,613,July,2024,Mobile Banking
4447,THE BAPUNAGAR MAHILA CO-OPERATIVE BANK LIMITED,673,32408.64,698,July,2024,Mobile Banking
4448,THE BARDOLI NAGRIK SAHAKARI BANK LTD.,1767,90624.65,228,July,2024,Mobile Banking
4449,"THE BARODA CENTRAL CO-OP BANK LTD., BARODA",1131114,2268022.39,218,July,2024,Mobile Banking
4450,THE BARODA CITY CO.OPERATIVE BANK LTD,2292,111647.33,312,July,2024,Mobile Banking
